Geneid,Gene Type,Product Description
AGAP002744,protein coding gene,unspecified product
AGAP002747,protein coding gene,unspecified product
AGAP002748,protein coding gene,protein kinase C
AGAP002749,ncRNA gene,unspecified product
AGAP002750,ncRNA gene,unspecified product
AGAP002751,protein coding gene,unspecified product
AGAP002752,protein coding gene,"DnaJ (Hsp40) homolog, subfamily C, member 3"
AGAP002753,protein coding gene,unspecified product
AGAP002754,protein coding gene,60S ribosomal protein L35a
AGAP002755,protein coding gene,unspecified product
AGAP002756,protein coding gene,unspecified product
AGAP002757,protein coding gene,unspecified product
AGAP002758,protein coding gene,E3 ubiquitin-protein ligase RNF115/126
AGAP002759,protein coding gene,Chaperonin containing TCP1 subunit 3
AGAP002760,protein coding gene,topoisomerase (DNA) II binding protein 1
AGAP002761,protein coding gene,3-methylcrotonyl-CoA carboxylase beta subunit
AGAP002762,protein coding gene,Chaperonin containing TCP1 subunit 7
AGAP002763,protein coding gene,ionotropic receptor IR7t
AGAP002764,protein coding gene,unspecified product
AGAP002765,protein coding gene,unspecified product
AGAP002766,protein coding gene,C-4 methylsterol oxidase
AGAP002767,protein coding gene,C-4 methylsterol oxidase
AGAP002769,protein coding gene,C-4 methylsterol oxidase
AGAP002770,protein coding gene,"tubulin, alpha 1"
AGAP002771,protein coding gene,unspecified product
AGAP002774,ncRNA gene,unspecified product
AGAP002775,protein coding gene,transmembrane anterior posterior transformation protein 1 homolog
AGAP002776,protein coding gene,cleavage stimulation factor subunit 1
AGAP002777,protein coding gene,"28S ribosomal protein S33, mitochondrial [Source:UniProtKB/TrEMBL;Acc:Q7PR61]"
AGAP002778,protein coding gene,protein misato
AGAP002779,protein coding gene,transcription initiation factor TFIIF subunit alpha
AGAP002780,protein coding gene,pre-mRNA branch site protein p14
AGAP002781,protein coding gene,unspecified product
AGAP002782,protein coding gene,nuclear autoantigenic sperm protein
AGAP002783,protein coding gene,"UDP glucuronosyltransferase 5 family, polypeptide A2"
AGAP002784,protein coding gene,CLIP-domain serine protease
AGAP002787,protein coding gene,unspecified product
AGAP002788,protein coding gene,MICOS complex subunit [Source:UniProtKB/TrEMBL;Acc:Q7QCS7]
AGAP002789,protein coding gene,unspecified product
AGAP002790,protein coding gene,amyloid beta A4 protein
AGAP002791,protein coding gene,tRNA-dihydrouridine synthase 4
AGAP002792,protein coding gene,unspecified product
AGAP002793,protein coding gene,slit homolog 1 protein precursor
AGAP002795,protein coding gene,unspecified product
AGAP002796,protein coding gene,3-glucan binding protein
AGAP002797,protein coding gene,ionotropic receptor GLURIId
AGAP002798,protein coding gene,3-glucan binding protein
AGAP002799,protein coding gene,3-glucan binding protein
AGAP002800,protein coding gene,gephyrin
AGAP002801,protein coding gene,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
AGAP002802,protein coding gene,neural cell adhesion molecule
AGAP002803,protein coding gene,unspecified product
AGAP002804,protein coding gene,Ecdysteroid-regulated protein
AGAP002805,protein coding gene,DNA excision repair protein ERCC-4
AGAP002807,protein coding gene,unspecified product
AGAP002808,protein coding gene,rRNA small subunit pseudouridine methyltransferase Nep1
AGAP002809,protein coding gene,3-oxoacyl-(acyl-carrier-protein) synthase II
AGAP002810,protein coding gene,45 kDa calcium-binding protein
AGAP002811,protein coding gene,CLIP-domain serine protease [Source:UniProtKB/TrEMBL;Acc:A0A1S4GG73]
AGAP002812,protein coding gene,Ras-related protein R-Ras2
AGAP002813,protein coding gene,CLIP-domain serine protease
AGAP002814,protein coding gene,unspecified product
AGAP002815,protein coding gene,CLIP-domain serine protease
AGAP002816,protein coding gene,ERO1-like protein alpha
AGAP002818,protein coding gene,unspecified product
AGAP002819,protein coding gene,unspecified product
AGAP002820,protein coding gene,unspecified product
AGAP002821,protein coding gene,unspecified product
AGAP002822,protein coding gene,unspecified product
AGAP002823,protein coding gene,Mediator of RNA polymerase II transcription subunit 7 [Source:UniProtKB/Swiss-Prot;Acc:Q7PR68]
AGAP002824,protein coding gene,putative tachykinin receptor 1
AGAP002825,protein coding gene,prophenoloxidase 1
AGAP002826,protein coding gene,unspecified product
AGAP002828,protein coding gene,unspecified product
AGAP002829,protein coding gene,ATP-dependent RNA helicase spindle-E
AGAP002830,protein coding gene,"C-1-tetrahydrofolate synthase, mitochondrial precursor"
AGAP002831,protein coding gene,ribosomal RNA small subunit methyltransferase H
AGAP002832,protein coding gene,protein-tyrosine phosphatase
AGAP002835,protein coding gene,alpha-tocopherol transfer protein-like protein
AGAP002836,protein coding gene,endoribonuclease Dicer
AGAP002837,protein coding gene,unspecified product
AGAP002838,protein coding gene,unspecified product
AGAP002839,protein coding gene,WD repeat-containing protein 85
AGAP002840,protein coding gene,unspecified product
AGAP002841,protein coding gene,pyridoxal phosphate phosphatase PHOSPHO2
AGAP002842,protein coding gene,CLIPD1 protein
AGAP002845,protein coding gene,unspecified product
AGAP002846,protein coding gene,Trunk
AGAP002847,protein coding gene,Niemann-Pick Type C-2
AGAP002848,protein coding gene,Niemann-Pick Type C-2
AGAP002849,protein coding gene,Niemann-Pick Type C-2
AGAP002850,protein coding gene,Niemann-Pick Type C-2
AGAP002851,protein coding gene,Niemann-Pick C2 protein
AGAP002852,protein coding gene,unspecified product
AGAP002853,protein coding gene,unspecified product
AGAP002854,protein coding gene,unspecified product
AGAP002855,protein coding gene,unspecified product
AGAP002856,protein coding gene,unspecified product
AGAP002857,protein coding gene,unspecified product
AGAP002858,protein coding gene,Sodium/potassium-transporting ATPase subunit alpha [Source:UniProtKB/TrEMBL;Acc:F5HKJ1]
AGAP002859,protein coding gene,solute carrier family 8 (sodium/calcium exchanger)
AGAP002862,protein coding gene,cytochrome P450
AGAP002863,protein coding gene,carboxylesterase alpha esterase
AGAP002864,protein coding gene,cytochrome P450
AGAP002865,protein coding gene,cytochrome P450
AGAP002866,protein coding gene,cytochrome P450
AGAP002867,protein coding gene,cytochrome P450
AGAP002868,protein coding gene,cytochrome P450
AGAP002869,protein coding gene,cytochrome P450
AGAP002870,protein coding gene,cytochrome P450
AGAP002872,protein coding gene,lipase
AGAP002874,protein coding gene,unspecified product
AGAP002875,protein coding gene,protein HEXIM1/2
AGAP002876,protein coding gene,single-strand selective monofunctional uracil DNA glycosylase
AGAP002877,protein coding gene,Tetratricopeptide repeat protein 30 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7PRA4]
AGAP002878,protein coding gene,Cystatin-like protein
AGAP002879,protein coding gene,cathepsin F
AGAP002880,protein coding gene,COP9 signalosome complex subunit 5
AGAP002881,protein coding gene,unspecified product
AGAP002883,protein coding gene,unspecified product
AGAP002884,protein coding gene,V-type H+-transporting ATPase subunit B
AGAP002885,protein coding gene,unspecified product
AGAP002886,protein coding gene,putative GPCR class a orphan receptor 2
AGAP002888,protein coding gene,putative GPCR class a orphan receptor 3
AGAP002889,protein coding gene,NADH dehydrogenase (ubiquinone) 1 subcomplex unknown 2
AGAP002890,protein coding gene,Lipid storage droplets surface-binding protein 1
AGAP002891,protein coding gene,putative metabotropic glutamate receptor 4
AGAP002892,protein coding gene,heterogeneous nuclear ribonucleoprotein F/H
AGAP002893,protein coding gene,"28S ribosomal protein S23, mitochondrial"
AGAP002894,protein coding gene,cytochrome P450
AGAP002895,protein coding gene,mRNA (2'-O-methyladenosine-N6-)-methyltransferase
AGAP002896,protein coding gene,RNA-binding protein Nova
AGAP002898,protein coding gene,glutathione S-transferase zeta class 1
AGAP002899,protein coding gene,unspecified product
AGAP002900,protein coding gene,ubiquitin carboxyl-terminal hydrolase 8
AGAP002901,protein coding gene,Protein unc-50 homolog
AGAP002902,protein coding gene,mothers against decapentaplegic homolog 4
AGAP002903,protein coding gene,unspecified product
AGAP002904,protein coding gene,ionotropic receptor IR41a
AGAP002905,protein coding gene,odorant-binding protein 13
AGAP002906,protein coding gene,Uncharacterized aarF domain-containing protein kinase 4
AGAP002907,protein coding gene,unspecified product
AGAP002908,protein coding gene,splicing factor U2AF 65 kDa subunit
AGAP002909,protein coding gene,Control protein HCTL029
AGAP002910,protein coding gene,Salivary C-type lectin
AGAP002911,protein coding gene,C-type lectin (CTL) - mannose binding
AGAP002912,protein coding gene,Salivary C-type lectin
AGAP002913,protein coding gene,unspecified product
AGAP002914,protein coding gene,galactokinase
AGAP002915,protein coding gene,P/Homo B domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GGJ0]
AGAP002916,protein coding gene,unspecified product
AGAP002917,protein coding gene,"39S ribosomal protein L34, mitochondrial"
AGAP002918,protein coding gene,unspecified product
AGAP002919,protein coding gene,40S ribosomal protein S6
AGAP002920,protein coding gene,unspecified product
AGAP002921,protein coding gene,60S ribosomal protein L36 [Source:UniProtKB/TrEMBL;Acc:Q7PQY8]
AGAP002922,protein coding gene,secretory carrier-associated membrane protein
AGAP002923,protein coding gene,bystin
AGAP002924,protein coding gene,protein tweety homolog
AGAP002925,protein coding gene,poly(U)-specific endoribonuclease
AGAP002926,protein coding gene,epidermal retinal dehydrogenase 2
AGAP002928,protein coding gene,unspecified product
AGAP002929,protein coding gene,unspecified product
AGAP002931,protein coding gene,ADP-ribosylation factor 2
AGAP002932,protein coding gene,ceramide kinase
AGAP002933,protein coding gene,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1
AGAP002935,protein coding gene,Eukaryotic translation initiation factor 3 subunit F [Source:UniProtKB/Swiss-Prot;Acc:Q7QD36]
AGAP002936,protein coding gene,unspecified product
AGAP002937,protein coding gene,unspecified product
AGAP002938,protein coding gene,unspecified product
AGAP002939,protein coding gene,solute carrier family 25 (mitochondrial 2-oxodicarboxylate transporter)
AGAP002942,protein coding gene,unspecified product
AGAP002943,protein coding gene,NAD-dependent deacetylase sirtuin 2
AGAP002945,protein coding gene,bifunctional glutamyl/prolyl-tRNA synthetase
AGAP002947,protein coding gene,structural maintenance of chromosome 1
AGAP002948,protein coding gene,translation initiation factor 4E
AGAP002949,protein coding gene,unspecified product
AGAP002950,protein coding gene,unspecified product
AGAP002951,protein coding gene,BTB/POZ domain-containing protein 7
AGAP002952,protein coding gene,peptidyl-prolyl isomerase G (cyclophilin G)
AGAP002953,protein coding gene,unspecified product
AGAP002954,protein coding gene,pre-mRNA-splicing factor CDC5/CEF1
AGAP002955,protein coding gene,leishmanolysin-like peptidase
AGAP002956,protein coding gene,splicing factor U2AF 35 kDa subunit
AGAP002957,protein coding gene,presenilin 1
AGAP002958,protein coding gene,transcription initiation factor TFIIA large subunit
AGAP002959,protein coding gene,Squamous cell carcinoma antigen recognized by T-cells 3
AGAP002960,protein coding gene,U3 small nucleolar RNA-associated protein 3
AGAP002961,protein coding gene,ribosomal RNA-processing protein 12
AGAP002962,protein coding gene,unspecified product
AGAP002966,protein coding gene,TOLL pathway signalling Ser/Thr kinase
AGAP002967,protein coding gene,bloom syndrome protein
AGAP002968,protein coding gene,thiamine pyrophosphokinase
AGAP002969,protein coding gene,asparaginyl-tRNA synthetase
AGAP002970,protein coding gene,Importin-11
AGAP002971,protein coding gene,unspecified product
AGAP002972,protein coding gene,nicotinic acetylcholine receptor subunit alpha 2
AGAP002973,protein coding gene,unspecified product
AGAP002974,protein coding gene,unspecified product
AGAP002975,protein coding gene,unspecified product
AGAP002976,protein coding gene,unspecified product
AGAP002977,protein coding gene,unspecified product
AGAP002978,protein coding gene,unspecified product
AGAP002979,protein coding gene,unspecified product
AGAP002980,protein coding gene,unspecified product
AGAP002981,protein coding gene,"cytochrome c oxidase assembly protein COX16 homolog, mitochondrial precursor"
AGAP002982,protein coding gene,E3 SUMO-protein ligase RanBP2
AGAP002983,protein coding gene,unspecified product
AGAP002984,protein coding gene,unspecified product
AGAP002985,protein coding gene,Structural maintenance of chromosomes protein 6 [Source:UniProtKB/TrEMBL;Acc:F7IWF2]
AGAP002986,protein coding gene,p21-activated kinase 1
AGAP002988,protein coding gene,DNA excision repair protein ERCC-2
AGAP002989,protein coding gene,gamma-interferon-inducible lysosomal thiol reductase
AGAP002990,protein coding gene,unspecified product
AGAP002991,protein coding gene,Ras-related GTP-binding protein A/B
AGAP002992,protein coding gene,Carbonic anhydrase [Source:UniProtKB/TrEMBL;Acc:Q5TU56]
AGAP002993,protein coding gene,unspecified product
AGAP002994,protein coding gene,cuticular protein RR-2 family 10
AGAP002995,protein coding gene,odorant receptor 59
AGAP002996,protein coding gene,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"
AGAP002997,protein coding gene,tumor necrosis factor alpha-induced protein 8-like protein
AGAP002999,protein coding gene,unspecified product
AGAP003000,protein coding gene,"MFS transporter, PCFT/HCP family, solute carrier family 46 (folate transporter"
AGAP003001,protein coding gene,ribosome assembly protein 1
